ip_address,http_status,latitude,longitude,user name,time,city,state
168.72.135.253/11,98,32.7714,-97.2915,arourke0@stanford.edu,2020-09-27 17:51:28,Fort Worth,Texas
236.80.181.33/31,69,32.3475,-95.3065,opavlik1@creativecommons.org,2020-07-24 16:13:32,Tyler,Texas
104.74.145.195/9,24,34.5271,-82.7087,cskentelbury2@usgs.gov,2020-09-03 11:02:47,Anderson,South Carolina
40.233.119.52/9,86,40.0878,-105.3735,rcharley3@icio.us,2020-09-28 15:17:30,Boulder,Colorado
102.46.119.86/19,81,42.3611,-71.0682,mgaylord4@facebook.com,2020-08-27 07:26:46,Boston,Massachusetts
106.39.81.222/7,7,38.8933,-77.0146,sniblett5@blog.com,2020-04-28 21:11:16,Washington,District of Columbia
25.210.88.99/28,92,33.2765,-112.1872,bwardingly6@prlog.org,2020-10-17 17:15:07,Phoenix,Arizona
218.150.202.77/15,63,26.5354,-80.1124,eregglar7@aol.com,2020-01-17 20:39:24,Boynton Beach,Florida
220.209.119.131/30,50,33.5623,-112.0559,mburry8@hatena.ne.jp,2020-08-02 20:10:25,Phoenix,Arizona
103.163.76.51/23,81,33.7217,-84.3339,tdainty9@people.com.cn,2020-10-23 10:24:12,Atlanta,Georgia
6.174.112.4/9,89,35.0942,-85.1757,crillatta@phpbb.com,2020-07-12 10:28:10,Chattanooga,Tennessee
36.197.179.100/27,63,31.6948,-106.3,pcoatmanb@patch.com,2020-04-04 08:32:27,El Paso,Texas
219.20.156.231/31,39,40.6763,-73.7966,ghoughtc@simplemachines.org,2020-04-09 21:44:11,Jamaica,New York
132.19.51.191/25,29,33.2765,-112.1872,swlochd@chicagotribune.com,2020-03-27 13:30:22,Chandler,Arizona
103.138.177.123/9,19,40.8085,-73.9198,lmaccrackane@bigcartel.com,2020-11-21 09:18:37,Bronx,New York
248.192.151.103/22,13,38.189,-85.6768,aissardf@cpanel.net,2020-10-05 21:10:37,Louisville,Kentucky
216.92.225.128/27,18,44.9608,-93.1216,rmayersg@patch.com,2020-03-23 09:21:02,Saint Paul,Minnesota
73.64.116.167/23,41,39.0351,-94.5467,rhawsh@dyndns.org,2020-04-09 21:51:21,Kansas City,Missouri
253.182.104.233/26,85,29.5407,-98.5521,mbydawayi@reverbnation.com,2020-12-11 20:38:41,San Antonio,Texas
199.58.80.176/9,50,41.2553,-111.9567,rmccreathj@ezinearticles.com,2020-10-20 00:18:51,Ogden,Utah
58.149.32.117/3,25,37.5313,-77.4161,kchevertonk@fastcompany.com,2020-01-30 12:42:24,Richmond,Virginia
182.251.208.230/4,70,42.8441,-78.8182,ogaunterl@unc.edu,2020-06-02 04:11:30,Buffalo,New York
110.193.250.199/15,47,21.3068,-157.8607,ktilliardsm@canalblog.com,2020-01-26 02:56:10,Honolulu,Hawaii
235.154.6.207/7,67,39.5224,-119.8353,rbrightmann@ebay.co.uk,2020-07-30 08:19:58,Reno,Nevada
142.248.215.126/25,19,47.3081,-122.4185,dsemeredo@lulu.com,2020-08-25 06:30:38,Tacoma,Washington
123.158.210.63/31,72,39.7495,-89.606,sjohanssenp@sitemeter.com,2020-12-19 00:10:53,Springfield,Illinois
34.8.100.175/8,68,40.6681,-111.9083,gburfordq@marketwatch.com,2020-12-06 06:12:51,Salt Lake City,Utah
174.153.165.138/14,74,35.9924,-84.1201,stythertonr@delicious.com,2020-07-31 15:28:12,Knoxville,Tennessee
110.44.219.160/7,63,47.6151,-122.3447,dnurnys@netvibes.com,2021-01-23 20:59:06,Seattle,Washington
253.7.79.205/4,40,33.8123,-84.2819,imcbreartyt@eventbrite.com,2021-01-14 23:58:32,Decatur,Georgia
91.63.122.225/14,68,38.8933,-77.0146,rmeiningeru@edublogs.org,2020-01-21 21:31:34,Washington,District of Columbia
131.159.139.252/28,24,45.8016,-122.5203,kglasscottv@hud.gov,2020-07-27 15:43:58,Vancouver,Washington
96.124.61.131/21,25,41.5968,-86.293,bsallengerw@phpbb.com,2020-10-28 02:12:42,South Bend,Indiana
146.34.183.209/20,20,31.6948,-106.3,rcostiganx@amazon.co.uk,2020-02-05 19:11:39,El Paso,Texas
50.202.91.185/13,89,37.7848,-122.7278,soffelly@huffingtonpost.com,2020-04-15 06:40:16,San Francisco,California
122.231.105.69/4,20,32.3401,-80.689,ebumz@deliciousdays.com,2020-09-18 10:06:35,Beaufort,South Carolina
142.162.232.18/11,73,33.7529,-116.0556,mhaugg10@themeforest.net,2020-03-28 22:03:07,Riverside,California
136.176.128.215/13,36,41.9166,-88.1208,imacquaker11@list-manage.com,2020-08-10 03:22:48,Carol Stream,Illinois
50.106.15.10/31,44,33.5446,-86.9292,bmacfadzan12@imageshack.us,2020-04-15 19:15:10,Birmingham,Alabama
48.241.175.244/17,52,38.8952,-77.0365,mbuckel13@ycombinator.com,2020-04-29 18:03:49,Washington,District of Columbia
161.200.171.147/13,81,39.8032,-121.8673,bsimunek14@fotki.com,2020-05-25 11:45:53,Chico,California
236.226.9.48/25,50,64.8544,-147.8469,sgrewes15@sitemeter.com,2020-03-08 01:52:47,Fairbanks,Alaska
57.214.172.99/28,20,40.303,-76.8862,lmaylott16@sphinn.com,2020-09-28 00:14:40,Harrisburg,Pennsylvania
165.134.168.158/22,48,32.4401,-88.6783,sdelafont17@ow.ly,2021-01-27 23:41:58,Meridian,Mississippi
78.17.136.165/28,100,30.1288,-95.4239,hcarneck18@t.co,2020-02-02 07:49:56,Spring,Texas
167.230.136.109/16,74,33.8913,-84.0746,cveel19@sphinn.com,2020-11-03 21:25:38,Atlanta,Georgia
60.11.251.221/23,74,40.3286,-75.1028,rbaxter1a@sciencedaily.com,2020-05-28 06:34:48,Levittown,Pennsylvania
158.234.173.13/25,48,45.5486,-123.1147,fklouz1b@sohu.com,2020-12-15 16:24:23,Beaverton,Oregon
217.222.39.122/6,88,30.0005,-90.1331,gfranklen1c@blogs.com,2020-04-23 02:46:13,Metairie,Louisiana
137.78.155.54/16,16,40.7808,-73.9772,bgatward1d@livejournal.com,2021-01-29 06:24:12,New York City,New York
91.74.34.148/11,78,39.5437,-104.9691,bklaaasen1e@webnode.com,2020-09-02 20:10:52,Littleton,Colorado
91.95.136.208/20,26,61.1901,-149.9361,wwoofenden1f@issuu.com,2020-01-16 07:16:02,Anchorage,Alaska
5.115.67.49/8,1,29.834,-95.4342,hhanssmann1g@kickstarter.com,2020-02-03 18:41:40,Houston,Texas
177.148.176.47/12,37,47.2484,-122.4644,jlage1h@youku.com,2020-10-19 15:46:55,Tacoma,Washington
40.99.225.54/9,13,32.404,-86.2539,dstquentin1i@gov.uk,2021-01-05 14:09:36,Montgomery,Alabama
37.162.109.238/7,85,35.2072,-80.9568,ballwood1j@noaa.gov,2020-04-12 11:35:48,Charlotte,North Carolina
51.53.11.55/31,57,33.6299,-112.1316,wsancroft1k@apache.org,2020-06-28 12:11:39,Phoenix,Arizona
167.87.52.68/26,20,32.7673,-96.7776,jgiamo1l@lulu.com,2020-07-15 09:18:55,Dallas,Texas
184.224.224.127/6,45,35.1885,-101.8165,ecansdall1m@adobe.com,2021-01-11 04:06:31,Amarillo,Texas
145.107.54.169/22,81,32.4112,-95.2899,aforeman1n@topsy.com,2020-06-25 20:10:10,Tyler,Texas
61.214.50.42/7,30,39.3432,-94.8516,lpautot1o@walmart.com,2020-05-27 10:02:03,Kansas City,Missouri
140.92.20.210/11,18,29.6518,-95.1464,rtyrwhitt1p@digg.com,2020-08-23 10:05:27,Pasadena,Texas
146.165.66.158/18,41,40.8085,-73.9198,cmallebone1q@studiopress.com,2020-06-19 15:26:05,Bronx,New York
170.14.7.211/9,29,47.6536,-117.4317,ikarran1r@yellowbook.com,2020-12-31 19:18:18,Spokane,Washington
152.138.167.226/18,85,39.9671,-83.0044,fmatzeitis1s@yahoo.co.jp,2020-11-25 18:04:53,Columbus,Ohio
189.114.151.55/4,20,21.2987,-157.6985,vlushey1t@i2i.jp,2020-03-11 01:32:21,Honolulu,Hawaii
249.172.58.113/3,52,33.9377,-117.1851,dhunnybun1u@bloglovin.com,2020-02-18 05:21:03,Moreno Valley,California
