ip_address,http_status,latitude,longitude,user name,time,state,city
5.172.251.18/26,43,39.0429,-95.7697,dgenike0@technorati.com,2020-05-08 05:44:32,Kansas,Topeka
122.223.28.82/26,86,37.929,-87.6604,ghillyatt1@intel.com,2020-04-26 00:14:33,Indiana,Evansville
94.172.187.254/7,25,45.8016,-122.5203,alarratt2@unc.edu,2020-08-22 06:04:18,Washington,Vancouver
67.214.138.91/1,38,41.2955,-96.1008,cknoles3@indiatimes.com,2020-01-11 04:02:46,Nebraska,Omaha
112.9.83.26/14,79,39.5327,-87.3255,shuban4@mediafire.com,2021-01-28 15:33:04,Indiana,Terre Haute
249.149.148.232/26,74,33.7074,-117.8403,bdignum5@fotki.com,2021-01-05 23:29:22,California,Irvine
242.232.66.101/14,88,26.6654,-80.0929,sheavens6@google.ru,2020-07-26 03:57:58,Florida,West Palm Beach
161.37.244.112/17,18,31.6948,-106.3,jknowler7@fc2.com,2020-06-11 09:15:33,Texas,El Paso
69.233.169.137/24,57,32.8926,-83.7455,vriccetti8@oaic.gov.au,2020-08-13 20:22:47,Georgia,Macon
179.5.58.192/30,19,47.4497,-122.3076,lweddup9@ycombinator.com,2020-04-22 09:15:48,Washington,Seattle
135.4.11.42/6,24,29.8159,-95.523,rrennelsa@chicagotribune.com,2020-06-30 19:15:40,Texas,Houston
212.9.119.197/15,81,35.0425,-90.0732,amanifoldb@furl.net,2020-07-02 13:06:04,Tennessee,Memphis
145.184.143.254/15,5,39.111,-84.6594,cclougherc@europa.eu,2020-01-03 16:36:36,Ohio,Cincinnati
32.5.120.11/17,7,25.9597,-80.1403,cmarchellid@surveymonkey.com,2020-08-19 01:22:34,Florida,Miami
129.145.166.81/6,16,35.0443,-106.6729,olinnye@cafepress.com,2020-12-02 01:11:21,New Mexico,Albuquerque
147.75.172.205/2,68,32.2334,-86.2085,rivermeef@gravatar.com,2021-01-24 17:21:10,Alabama,Montgomery
198.185.119.88/16,77,28.5456,-81.3782,aellumg@storify.com,2020-12-29 18:25:43,Florida,Orlando
